Week,Model,Features,Fold,N_train,N_test,N_features,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
6,RandomForest,Assessment_only,4,26111,6482,3,0.7635081056660543,0.7654158341262366,0.7176578786020846,0.7585871678548283,0.6809191390343223,0.7180876904107223
6,RandomForest,VLE+Assessment,0,26026,6567,6,0.7837894303667242,0.8118412774637483,0.7193862496311596,0.7403583358639538,0.6995695839311334,0.7110761612063194
6,RandomForest,VLE+Assessment,1,26064,6529,6,0.7775971505406396,0.8118285066966586,0.7099305765167522,0.7377666248431619,0.6841186736474695,0.7068280200977561
6,RandomForest,VLE+Assessment,2,26072,6521,6,0.7889161346899134,0.8161994971134187,0.7269477133919261,0.741190765492102,0.713241742180649,0.7192015162516148
6,RandomForest,VLE+Assessment,3,26099,6494,6,0.7787522519334089,0.8066706476942231,0.7113095238095238,0.7255616272009715,0.6976065382370111,0.7014760200963412
6,RandomForest,VLE+Assessment,4,26111,6482,6,0.777739795009628,0.8073094928684003,0.7140495867768595,0.7385763133354056,0.6910994764397905,0.7074091337520898
6,RandomForest,All_features,0,26026,6567,44,0.8344168527954701,0.8691353902679142,0.7564374431990306,0.8010907924286172,0.7164992826398853,0.7576656049799038
6,RandomForest,All_features,1,26064,6529,44,0.8252647207669472,0.8617627596391775,0.7392318457471622,0.794186435015035,0.6913903432228039,0.7460510434975229
6,RandomForest,All_features,2,26072,6521,44,0.832530480617816,0.8693243668414624,0.7518427518427518,0.7919767065674539,0.7155802396959953,0.7540804424286428
6,RandomForest,All_features,3,26099,6494,44,0.8268085774783065,0.8624583016075248,0.7479326186830015,0.7867268041237113,0.712784588441331,0.7485044193836381
6,RandomForest,All_features,4,26111,6482,44,0.8309406100481668,0.8671282645099044,0.7476117103235748,0.7948885976408913,0.7056428155904596,0.7499961778346516
6,XGBoost,VLE_only,0,26026,6567,3,0.733432705476423,0.7802093058045851,0.6720454205886748,0.7010598503740648,0.6453371592539455,0.6670877879332674
6,XGBoost,VLE_only,1,26064,6529,3,0.7400298846564055,0.7837409769806148,0.6781765864001211,0.7074249605055293,0.6512507271669575,0.6758356515161866
6,XGBoost,VLE_only,2,26072,6521,3,0.746484238715335,0.7905717000247989,0.6876687668766877,0.7063174114021572,0.6699795381467407,0.6812800916540156
6,XGBoost,VLE_only,3,26099,6494,3,0.7312244219561891,0.7747039195387713,0.6737096287352853,0.6975,0.6514886164623468,0.6679868114906258
6,XGBoost,VLE_only,4,26111,6482,3,0.732513450199861,0.7777704451621805,0.6762696762696763,0.6908373786407767,0.662303664921466,0.6637733830520602
6,XGBoost,Assessment_only,0,26026,6567,3,0.7768788922954313,0.7768060943351046,0.7296723300970874,0.7740585774058577,0.6901004304160688,0.7311631289004419
6,XGBoost,Assessment_only,1,26064,6529,3,0.7566875364289237,0.7604136504352219,0.7063393412057178,0.7581721147431622,0.6611401977894125,0.7132941364230142
6,XGBoost,Assessment_only,2,26072,6521,3,0.7747829817729206,0.7746603635596782,0.7203441917639828,0.7593132491091675,0.6851797719964923,0.7227511763208267
6,XGBoost,Assessment_only,3,26099,6494,3,0.7677743381960634,0.7695218855826662,0.7148779364348227,0.7541302235179786,0.6795096322241682,0.716058597076882
6,XGBoost,Assessment_only,4,26111,6482,3,0.7700259486805503,0.7755158155568063,0.7205407896758335,0.7635949202214263,0.6820826061663758,0.7217903175378528
6,XGBoost,VLE+Assessment,0,26026,6567,6,0.7953353437416497,0.8295507294903337,0.7317144528964307,0.7463443748134885,0.7176470588235294,0.7209260602359049
6,XGBoost,VLE+Assessment,1,26064,6529,6,0.7908155919651886,0.8258092679670406,0.7226638668066596,0.746051409104986,0.7006980802792321,0.7177058825854264
6,XGBoost,VLE+Assessment,2,26072,6521,6,0.8013848525709328,0.8335417972677293,0.7369516728624536,0.75,0.7243496053785443,0.7289489962376592
6,XGBoost,VLE+Assessment,3,26099,6494,6,0.791420304961446,0.8228848166422222,0.7284392718591465,0.7451159951159951,0.7124927028604787,0.7201642132294571
6,XGBoost,VLE+Assessment,4,26111,6482,6,0.7912024646851032,0.8243795223678385,0.7281582054309327,0.7390653085680048,0.7175683536940082,0.7157158457037716
6,XGBoost,All_features,0,26026,6567,44,0.8292436203363446,0.8692537232307005,0.7537627934978929,0.7926559037670149,0.7185078909612626,0.7529917780568804
6,XGBoost,All_features,1,26064,6529,44,0.8221785310389957,0.8617506447550913,0.73721612853391,0.786161449752883,0.6940081442699244,0.7420218657292683
6,XGBoost,All_features,2,26072,6521,44,0.8324256254066439,0.8704981563770133,0.7470174365249311,0.7834456207892204,0.7138263665594855,0.7480422155378073
6,XGBoost,All_features,3,26099,6494,44,0.8243408218919515,0.8632919623028947,0.7430227238066189,0.7780261897157458,0.7110332749562172,0.7422506661612898
6,XGBoost,All_features,4,26111,6482,44,0.8265544364255415,0.8664662017306475,0.7467601768562281,0.7846843960269144,0.7123327515997673,0.7457852982703173
6,LightGBM,VLE_only,0,26026,6567,3,0.7508284322259949,0.7925280396959602,0.6850171105490255,0.711372064276885,0.660545193687231,0.6787476130668472
6,LightGBM,VLE_only,1,26064,6529,3,0.7543028710838143,0.7929747243377048,0.6840341255332114,0.718170185540627,0.6529959278650378,0.6839874495358835
