week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
6,LightGBM,lcpo,18,FFF,2014J,0.8436337889952482,0.8736293512655727,0.736551724137931,0.8640776699029126,0.6418269230769231,0.7645123872322843
6,LightGBM,lcpo,19,GGG,2013J,0.6202608858858858,0.5168913109043586,0.5485103132161956,0.37829293993677554,0.9972222222222222,0.5003003003003003
6,LightGBM,lcpo,20,GGG,2014B,0.6846720490305851,0.6380871096392504,0.5986509274873525,0.42719614921780985,1.0,0.502092050209205
6,LightGBM,lcpo,21,GGG,2014J,0.654818342933097,0.5968672772954655,0.5798479087452472,0.40829986613119146,1.0,0.5022522522522522
8,LightGBM,lcpo,0,AAA,2013J,0.7730900993490921,0.5834707270913093,0.5910652920962199,0.46236559139784944,0.819047619047619,0.7296676944158959
8,LightGBM,lcpo,1,AAA,2014J,0.7541643139469225,0.5942730404957952,0.577922077922078,0.45408163265306123,0.7946428571428571,0.6858589779785431
8,LightGBM,lcpo,2,BBB,2013B,0.8619576226081653,0.8941545463170508,0.801,0.7731660231660231,0.8309128630705395,0.769130155072007
8,LightGBM,lcpo,3,BBB,2013J,0.8703558388315931,0.899641354589054,0.7867924528301887,0.8732984293193717,0.7158798283261802,0.801503346998911
8,LightGBM,lcpo,4,BBB,2014B,0.869654351194339,0.9133504182841934,0.7874213836477988,0.8892045454545454,0.7065462753950339,0.7996280207786723
8,LightGBM,lcpo,5,BBB,2014J,0.7788815028021443,0.8137373417363325,0.717100633356791,0.5987074030552292,0.893859649122807,0.6504888523391813
8,LightGBM,lcpo,6,CCC,2014B,0.8764897825708324,0.9325103285031353,0.8624708624708625,0.8531898539584934,0.8719560094265515,0.7919357724357494
8,LightGBM,lcpo,7,CCC,2014J,0.8666864862530684,0.9063129773064683,0.8132183908045977,0.8700999231360492,0.7633175994605529,0.7984075682031828
8,LightGBM,lcpo,8,DDD,2013B,0.8667581534505354,0.9140657758841977,0.7888730385164051,0.9080459770114943,0.6973518284993695,0.7937739534653709
8,LightGBM,lcpo,9,DDD,2013J,0.8759769013477839,0.9054836917642853,0.8248003757632691,0.8607843137254902,0.7917042380522994,0.8102067631757275
8,LightGBM,lcpo,10,DDD,2014B,0.8773841809956768,0.921069778696415,0.8403593642017968,0.8710601719197708,0.8117489986648865,0.8119287790819213
8,LightGBM,lcpo,11,DDD,2014J,0.869671617260638,0.9081980825497296,0.7868131868131868,0.8850432632880099,0.7082096933728981,0.7953927254743278
8,LightGBM,lcpo,12,EEE,2013J,0.860790178918925,0.8464217700384438,0.7605633802816901,0.73125,0.7923250564334086,0.7902511981674432
8,LightGBM,lcpo,13,EEE,2014B,0.8453980998927761,0.8695166825020325,0.7585139318885449,0.7928802588996764,0.7270029673590505,0.7738656293377886
8,LightGBM,lcpo,14,EEE,2014J,0.8612372946254526,0.8432131922522665,0.7634615384615384,0.7406716417910447,0.7876984126984127,0.7922410192147034
8,LightGBM,lcpo,15,FFF,2013B,0.8368220354613416,0.8668448059304009,0.7008797653958945,0.8984962406015038,0.5745192307692307,0.7527327611646666
8,LightGBM,lcpo,16,FFF,2013J,0.8477318850606522,0.877793504838413,0.7533333333333333,0.8673245614035088,0.6658249158249159,0.7776613163599465
8,LightGBM,lcpo,17,FFF,2014B,0.8570426760940132,0.8987301029166472,0.7706919945725916,0.9044585987261147,0.6713947990543735,0.7898258398941592
8,LightGBM,lcpo,18,FFF,2014J,0.8902699108188141,0.9134505069848841,0.8028738212842389,0.9131767109295199,0.7163461538461539,0.8201247331451003
8,LightGBM,lcpo,19,GGG,2013J,0.6408502252252253,0.549746669738234,0.5460122699386503,0.3771186440677966,0.9888888888888889,0.49782282282282286
8,LightGBM,lcpo,20,GGG,2014B,0.6869084801697212,0.6466965367201238,0.5998300764655905,0.42944038929440387,0.9943661971830986,0.5065973245329719
8,LightGBM,lcpo,21,GGG,2014J,0.6606778910057598,0.6119930495883334,0.5826170009551098,0.4110512129380054,1.0,0.5078828828828829
