week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN,lcpo,11,DDD,2014J,full,0.7873255302780526,0.8636185652854422,0.6892792247122955,0.8890625,0.5628090999010881,0.7365813176273117
8,GNN,lcpo,11,DDD,2014J,full,0.7813520966339957,0.858880944438557,0.6847498493068114,0.8765432098765432,0.5618199802176064,0.7304049396037526
8,GNN,lcpo,12,EEE,2013J,full,0.8147093818456783,0.8276111562216648,0.6935483870967742,0.8571428571428571,0.582392776523702,0.755892611578764
8,GNN,lcpo,12,EEE,2013J,full,0.8195428245245324,0.8283103331422565,0.6850393700787402,0.8181818181818182,0.5891647855530474,0.7469633451574761
8,GNN,lcpo,12,EEE,2013J,full,0.7886258418678439,0.8111215096736032,0.6901960784313725,0.8198757763975155,0.5959367945823928,0.7503493496721487
8,GNN,lcpo,12,EEE,2013J,full,0.82460237150048,0.8329832957658475,0.7049808429118773,0.8117647058823529,0.6230248306997742,0.7589672593564553
8,GNN,lcpo,12,EEE,2013J,full,0.7723055595710691,0.8047445124983292,0.7022696929238985,0.8594771241830066,0.5936794582392777,0.7615359524365518
8,GNN,lcpo,13,EEE,2014B,full,0.7728266380736271,0.8144984481644606,0.6493955094991365,0.7768595041322314,0.5578635014836796,0.7033014986409994
8,GNN,lcpo,13,EEE,2014B,full,0.7588293477628439,0.8107870607277229,0.6480446927374302,0.87,0.516320474777448,0.7217456715623936
8,GNN,lcpo,13,EEE,2014B,full,0.7596688527042865,0.8090826304237184,0.643510054844607,0.8380952380952381,0.5222551928783383,0.7135085488201216
8,GNN,lcpo,13,EEE,2014B,full,0.7889185347729597,0.8269526860076739,0.6570397111913358,0.8387096774193549,0.5400593471810089,0.7210100657473673
8,GNN,lcpo,13,EEE,2014B,full,0.7657698094074425,0.8103385999567361,0.6078431372549019,0.8959537572254336,0.4599406528189911,0.7047602423758821
8,GNN,lcpo,14,EEE,2014J,full,0.7550850505894366,0.7865741477090485,0.642512077294686,0.8209876543209876,0.5277777777777778,0.7214912280701755
8,GNN,lcpo,14,EEE,2014J,full,0.7736383783532907,0.8011078744685927,0.6550868486352357,0.8741721854304636,0.5238095238095238,0.7341269841269842
8,GNN,lcpo,14,EEE,2014J,full,0.7806698459110739,0.8066707835859541,0.6526867627785059,0.9613899613899614,0.494047619047619,0.7397138680033417
8,GNN,lcpo,14,EEE,2014J,full,0.7946631625359696,0.8190366053242084,0.6516556291390728,0.9800796812749004,0.4880952380952381,0.7403926482873852
8,GNN,lcpo,14,EEE,2014J,full,0.7640890420495684,0.7956916847539335,0.6747519294377067,0.7593052109181141,0.6071428571428571,0.7326649958228906
8,GNN,lcpo,15,FFF,2013B,full,0.8134375614794412,0.8601365237536099,0.7392290249433107,0.6995708154506438,0.7836538461538461,0.7127987900845957
8,GNN,lcpo,15,FFF,2013B,full,0.8128258410387567,0.8616367414644843,0.7305327868852459,0.6366071428571428,0.8569711538461539,0.6682553978949439
8,GNN,lcpo,15,FFF,2013B,full,0.814822385894157,0.8608803733053426,0.7291242362525459,0.6325088339222615,0.8605769230769231,0.6643038068070037
8,GNN,lcpo,15,FFF,2013B,full,0.8052362040133779,0.8559297651642772,0.7242757242757243,0.6196581196581197,0.8713942307692307,0.6511702611646665
8,GNN,lcpo,15,FFF,2013B,full,0.8040542617548692,0.8559370200414742,0.7001779359430605,0.5557909604519774,0.9459134615384616,0.5707828177257526
8,GNN,lcpo,16,FFF,2013J,full,0.8600671863228941,0.8958831802011746,0.7524850894632207,0.9186893203883496,0.6372053872053872,0.7880090862967575
8,GNN,lcpo,16,FFF,2013J,full,0.8636417446919729,0.8950678507317882,0.7808219178082192,0.794425087108014,0.7676767676767676,0.7760758267607583
8,GNN,lcpo,16,FFF,2013J,full,0.8652176252632874,0.8984627232533354,0.7770582793709528,0.8624229979466119,0.7070707070707071,0.7923481389234814
8,GNN,lcpo,16,FFF,2013J,full,0.8726504005042818,0.901640088221292,0.7603864734299517,0.8922902494331065,0.6624579124579124,0.7878499607951662
8,GNN,lcpo,16,FFF,2013J,full,0.8631082514644158,0.8956398984953383,0.773354355538037,0.7272053372868792,0.8257575757575758,0.7448422581984226
8,GNN,lcpo,17,FFF,2014B,full,0.8422329219713567,0.8946958329091323,0.7692307692307693,0.8243243243243243,0.7210401891252955,0.7611317153577548
8,GNN,lcpo,17,FFF,2014B,full,0.8463393121796403,0.8969400005654781,0.7862068965517242,0.7651006711409396,0.8085106382978723,0.7437048604333398
8,GNN,lcpo,17,FFF,2014B,full,0.8468001966440382,0.8980903086563459,0.7799410029498525,0.7785630153121319,0.7813238770685579,0.7469310516841261
8,GNN,lcpo,17,FFF,2014B,full,0.8485208319777908,0.8986598340717307,0.7312280701754386,0.8998272884283247,0.6158392434988179,0.763577114104149
8,GNN,lcpo,17,FFF,2014B,full,0.8542918284280767,0.9032802300775366,0.7249097472924187,0.9313543599257884,0.5933806146572104,0.7684028455549049
