week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc,pipeline_version
8,14,EEE,2014J,42,28283,1188,0.844904007677901,171,0.7550850505894366,0.7865741477090485,0.642512077294686,0.8209876543209876,0.5277777777777778,0.7214912280701755,v2_corrected
8,14,EEE,2014J,123,28283,1188,0.8396924715244156,176,0.7736383783532907,0.8011078744685927,0.6550868486352357,0.8741721854304636,0.5238095238095238,0.7341269841269842,v2_corrected
8,14,EEE,2014J,7,28283,1188,0.8451638421015079,195,0.7806698459110739,0.8066707835859541,0.6526867627785059,0.9613899613899614,0.49404761904761907,0.7397138680033417,v2_corrected
8,14,EEE,2014J,17,28283,1188,0.8408773989831813,199,0.7946631625359696,0.8190366053242084,0.6516556291390728,0.9800796812749004,0.4880952380952381,0.7403926482873852,v2_corrected
8,14,EEE,2014J,99,28283,1188,0.8445390021780723,199,0.7640890420495684,0.7956916847539335,0.6747519294377067,0.7593052109181141,0.6071428571428571,0.7326649958228906,v2_corrected
8,15,FFF,2013B,42,27849,1614,0.8322621622154589,199,0.8134375614794412,0.8601365237536099,0.7392290249433107,0.6995708154506438,0.7836538461538461,0.7127987900845957,v2_corrected
8,15,FFF,2013B,123,27849,1614,0.8328903214992343,198,0.8128258410387567,0.8616367414644843,0.7305327868852459,0.6366071428571428,0.8569711538461539,0.6682553978949439,v2_corrected
8,15,FFF,2013B,7,27849,1614,0.8382816454240096,198,0.814822385894157,0.8608803733053426,0.7291242362525459,0.6325088339222615,0.8605769230769231,0.6643038068070037,v2_corrected
8,15,FFF,2013B,17,27849,1614,0.8374710775581571,199,0.8052362040133779,0.8559297651642772,0.7242757242757243,0.6196581196581197,0.8713942307692307,0.6511702611646665,v2_corrected
8,15,FFF,2013B,99,27849,1614,0.8385328680545057,197,0.8040542617548692,0.8559370200414742,0.7001779359430605,0.5557909604519774,0.9459134615384616,0.5707828177257526,v2_corrected
8,16,FFF,2013J,42,27299,2283,0.8320028178737237,199,0.8600671863228941,0.8958831802011746,0.7524850894632207,0.9186893203883495,0.6372053872053872,0.7880090862967575,v2_corrected
8,16,FFF,2013J,123,27299,2283,0.8295897045205156,199,0.8636417446919729,0.8950678507317882,0.7808219178082192,0.794425087108014,0.7676767676767676,0.7760758267607583,v2_corrected
8,16,FFF,2013J,7,27299,2283,0.8355000004413963,198,0.8652176252632874,0.8984627232533354,0.7770582793709528,0.8624229979466119,0.7070707070707071,0.7923481389234814,v2_corrected
8,16,FFF,2013J,17,27299,2283,0.8338266672198833,199,0.8726504005042818,0.901640088221292,0.7603864734299517,0.8922902494331065,0.6624579124579124,0.7878499607951662,v2_corrected
8,16,FFF,2013J,99,27299,2283,0.834910736434348,199,0.8631082514644158,0.8956398984953383,0.773354355538037,0.7272053372868792,0.8257575757575758,0.7448422581984226,v2_corrected
8,17,FFF,2014B,42,27964,1500,0.8359036415711948,199,0.8422329219713567,0.8946958329091323,0.7692307692307693,0.8243243243243243,0.7210401891252955,0.7611317153577548,v2_corrected
8,17,FFF,2014B,123,27964,1500,0.8364165302782325,198,0.8463393121796403,0.8969400005654781,0.7862068965517242,0.7651006711409396,0.8085106382978723,0.7437048604333398,v2_corrected
