Week,Model,Course,AUROC
6,LogReg,FFF_2014B,0.8063312595617885
6,LogReg,FFF_2014J,0.8363545482910038
6,LogReg,GGG_2013J,0.5402144385739325
6,LogReg,GGG_2014B,0.6191043781054187
6,LogReg,GGG_2014J,0.5713701593331222
6,RF,AAA_2013J,0.725558530607619
6,RF,AAA_2014J,0.6613653304459038
6,RF,BBB_2013B,0.7991505251195591
6,RF,BBB_2013J,0.7732920710904985
6,RF,BBB_2014B,0.8025030604775315
6,RF,BBB_2014J,0.7203036723157896
6,RF,CCC_2014B,0.8679040029898957
6,RF,CCC_2014J,0.8503670847666845
6,RF,DDD_2013B,0.8480562494639837
6,RF,DDD_2013J,0.8355980241642312
6,RF,DDD_2014B,0.8208849059087703
6,RF,DDD_2014J,0.8460717018470313
6,RF,EEE_2013J,0.8427894471935335
6,RF,EEE_2014B,0.8266241634549631
6,RF,EEE_2014J,0.8298766305454625
6,RF,FFF_2013B,0.7988536988091482
6,RF,FFF_2013J,0.7996382791439732
6,RF,FFF_2014B,0.8066223466818822
6,RF,FFF_2014J,0.830169218966343
6,RF,GGG_2013J,0.5588500068284691
6,RF,GGG_2014B,0.6244795209415397
6,RF,GGG_2014J,0.5445064766052421
6,XGB,AAA_2013J,0.6933476891401155
6,XGB,AAA_2014J,0.6513409285282741
6,XGB,BBB_2013B,0.7772391637775219
6,XGB,BBB_2013J,0.7286654667253231
6,XGB,BBB_2014B,0.7622430125113228
6,XGB,BBB_2014J,0.6877391632139428
6,XGB,CCC_2014B,0.8373443318784287
6,XGB,CCC_2014J,0.8240129548288445
6,XGB,DDD_2013B,0.811383483868168
6,XGB,DDD_2013J,0.8113630303267753
6,XGB,DDD_2014B,0.7848939859111548
6,XGB,DDD_2014J,0.8169438140293915
6,XGB,EEE_2013J,0.8206376174480505
6,XGB,EEE_2014B,0.8193230816330619
6,XGB,EEE_2014J,0.8055564487604103
6,XGB,FFF_2013B,0.7671976897139166
6,XGB,FFF_2013J,0.7735379875667051
6,XGB,FFF_2014B,0.7824826087367568
6,XGB,FFF_2014J,0.8018644251519301
6,XGB,GGG_2013J,0.5275687970504598
6,XGB,GGG_2014B,0.5871667470002538
6,XGB,GGG_2014J,0.5319937264381709
8,LogReg,AAA_2013J,0.7524724391010177
8,LogReg,AAA_2014J,0.6873722037834741
8,LogReg,BBB_2013B,0.8364321759980421
8,LogReg,BBB_2013J,0.823281386672379
8,LogReg,BBB_2014B,0.7962336020815054
8,LogReg,BBB_2014J,0.81226462894265
8,LogReg,CCC_2014B,0.8767780313850069
8,LogReg,CCC_2014J,0.8597362458731753
8,LogReg,DDD_2013B,0.8806267806267806
8,LogReg,DDD_2013J,0.8604977262554702
8,LogReg,DDD_2014B,0.8541089201970786
8,LogReg,DDD_2014J,0.847343787469612
8,LogReg,EEE_2013J,0.8316562109665558
8,LogReg,EEE_2014B,0.8419727441538414
8,LogReg,EEE_2014J,0.8436594866159363
8,LogReg,FFF_2013B,0.8277153660899548
8,LogReg,FFF_2013J,0.8400400730818292
8,LogReg,FFF_2014B,0.842139250152464
8,LogReg,FFF_2014J,0.869573874950219
8,LogReg,GGG_2013J,0.6188083712766069
8,LogReg,GGG_2014B,0.6498803150784168
8,LogReg,GGG_2014J,0.6530897348857161
8,RF,AAA_2013J,0.7929872626937637
8,RF,AAA_2014J,0.6971106089494622
8,RF,BBB_2013B,0.8471255972367402
8,RF,BBB_2013J,0.8319088166514933
8,RF,BBB_2014B,0.7996605922962207
8,RF,BBB_2014J,0.8196140138932558
8,RF,CCC_2014B,0.8734433187842869
8,RF,CCC_2014J,0.8589377073121396
8,RF,DDD_2013B,0.872674710910005
8,RF,DDD_2013J,0.8670755688570665
8,RF,DDD_2014B,0.8602816174253038
8,RF,DDD_2014J,0.8518373672774174
8,RF,EEE_2013J,0.8365893365893368
8,RF,EEE_2014B,0.8373619110565574
8,RF,EEE_2014J,0.8432256711212203
8,RF,FFF_2013B,0.8337381855156542
8,RF,FFF_2013J,0.8472570523981648
8,RF,FFF_2014B,0.8513458745372314
8,RF,FFF_2014J,0.8756363890772493
8,RF,GGG_2013J,0.6073222299217242
8,RF,GGG_2014B,0.6362316429198028
8,RF,GGG_2014J,0.6311527016391891
8,XGB,AAA_2013J,0.7853535700763653
8,XGB,AAA_2014J,0.6984891996014092
8,XGB,BBB_2013B,0.8192045664433323
8,XGB,BBB_2013J,0.7963673039504453
8,XGB,BBB_2014B,0.7709356288883308
8,XGB,BBB_2014J,0.7996929558881157
8,XGB,CCC_2014B,0.8482538919811174
8,XGB,CCC_2014J,0.8376261588434427
8,XGB,DDD_2013B,0.8455589073236133
8,XGB,DDD_2013J,0.8427655356173206
8,XGB,DDD_2014B,0.8268058671065394
8,XGB,DDD_2014J,0.8248093295067592
8,XGB,EEE_2013J,0.8081764978316702
8,XGB,EEE_2014B,0.8152519434740189
8,XGB,EEE_2014J,0.8216577355583349
8,XGB,FFF_2013B,0.8143864339990721
8,XGB,FFF_2013J,0.8152854620588571
8,XGB,FFF_2014B,0.83870169535638
8,XGB,FFF_2014J,0.8606025380218929
8,XGB,GGG_2013J,0.589275284470882
8,XGB,GGG_2014B,0.6024003496666294
8,XGB,GGG_2014J,0.6084712272133107
