Course_Presentation,Week,Model,AUROC
FFF/2014B,6,XGBoost,0.8212256273450886
FFF/2014B,6,LightGBM,0.8300474982106838
FFF/2014J,6,LogisticRegression,0.8548940614741868
FFF/2014J,6,RandomForest,0.8435132738792095
FFF/2014J,6,XGBoost,0.8500304157197622
FFF/2014J,6,LightGBM,0.8571888701420932
GGG/2013J,6,LogisticRegression,0.6313907657657658
GGG/2013J,6,RandomForest,0.5991131756756758
GGG/2013J,6,XGBoost,0.6184238926426426
GGG/2013J,6,LightGBM,0.6316769894894896
GGG/2014B,6,LogisticRegression,0.645506511874595
GGG/2014B,6,RandomForest,0.6071394896576109
GGG/2014B,6,XGBoost,0.6257351641228122
GGG/2014B,6,LightGBM,0.6529170840945253
GGG/2014J,6,LogisticRegression,0.6514990400236302
GGG/2014J,6,RandomForest,0.6469982277359326
GGG/2014J,6,XGBoost,0.6582853345148427
GGG/2014J,6,LightGBM,0.6794232757347511
AAA/2013J,8,LogisticRegression,0.722678999657417
AAA/2013J,8,RandomForest,0.7819630010277492
AAA/2013J,8,XGBoost,0.7763617677286742
AAA/2013J,8,LightGBM,0.7985268927714971
AAA/2014J,8,LogisticRegression,0.7354954827780914
AAA/2014J,8,RandomForest,0.7667278373800114
AAA/2014J,8,XGBoost,0.7513410502540937
AAA/2014J,8,LightGBM,0.7780914737436477
BBB/2013B,8,LogisticRegression,0.8200343111671481
BBB/2013B,8,RandomForest,0.8660592022653639
BBB/2013B,8,XGBoost,0.8698203831069174
BBB/2013B,8,LightGBM,0.8766516124698356
BBB/2013J,8,LogisticRegression,0.860559060918583
BBB/2013J,8,RandomForest,0.8671990103132406
BBB/2013J,8,XGBoost,0.8675148933444367
BBB/2013J,8,LightGBM,0.8758083242585357
BBB/2014B,8,LogisticRegression,0.8398036396831656
BBB/2014B,8,RandomForest,0.8669879308578189
BBB/2014B,8,XGBoost,0.8688198819478297
BBB/2014B,8,LightGBM,0.875107510688969
BBB/2014J,8,LogisticRegression,0.7916491532651072
BBB/2014J,8,RandomForest,0.8162737573099416
BBB/2014J,8,XGBoost,0.8062591374269005
BBB/2014J,8,LightGBM,0.812791636208577
CCC/2014B,8,LogisticRegression,0.8796183407800247
CCC/2014B,8,RandomForest,0.8944400408057356
CCC/2014B,8,XGBoost,0.8853102906520032
CCC/2014B,8,LightGBM,0.8938576941441875
CCC/2014J,8,LogisticRegression,0.8313610076764912
CCC/2014J,8,RandomForest,0.8657979265833802
CCC/2014J,8,XGBoost,0.86217326747473
CCC/2014J,8,LightGBM,0.8680198240153595
DDD/2013B,8,LogisticRegression,0.841935563632767
DDD/2013B,8,RandomForest,0.8781099324975891
DDD/2013B,8,XGBoost,0.8672551492223624
DDD/2013B,8,LightGBM,0.8820488094355018
DDD/2013J,8,LogisticRegression,0.8463949417040748
DDD/2013J,8,RandomForest,0.888770569993724
DDD/2013J,8,XGBoost,0.8837861297140079
DDD/2013J,8,LightGBM,0.8910302916917294
DDD/2014B,8,LogisticRegression,0.8334620133734332
DDD/2014B,8,RandomForest,0.8817630187501219
DDD/2014B,8,XGBoost,0.8805672699298439
DDD/2014B,8,LightGBM,0.8888176580604341
DDD/2014J,8,LogisticRegression,0.8438677077401113
DDD/2014J,8,RandomForest,0.8733508427499524
DDD/2014J,8,XGBoost,0.8700006993775541
DDD/2014J,8,LightGBM,0.8759928663489495
EEE/2013J,8,LogisticRegression,0.8577173844551442
EEE/2013J,8,RandomForest,0.8562551197796779
EEE/2013J,8,XGBoost,0.8469978167962133
EEE/2013J,8,LightGBM,0.8623284294647259
EEE/2014B,8,LogisticRegression,0.8379921701618332
EEE/2014B,8,RandomForest,0.8494252300326658
EEE/2014B,8,XGBoost,0.846736320641016
EEE/2014B,8,LightGBM,0.8519479008220499
EEE/2014J,8,LogisticRegression,0.8726967882669637
EEE/2014J,8,RandomForest,0.8694174672793094
EEE/2014J,8,XGBoost,0.8668430335097002
EEE/2014J,8,LightGBM,0.8782169544230948
FFF/2013B,8,LogisticRegression,0.8119866466653551
FFF/2013B,8,RandomForest,0.8378702599350777
FFF/2013B,8,XGBoost,0.8457665256738147
FFF/2013B,8,LightGBM,0.8513242671650599
FFF/2013J,8,LogisticRegression,0.8372176867610657
FFF/2013J,8,RandomForest,0.8608439801362175
FFF/2013J,8,XGBoost,0.8564203680642037
FFF/2013J,8,LightGBM,0.8671413526436358
FFF/2014B,8,LogisticRegression,0.8273291835657637
FFF/2014B,8,RandomForest,0.8562501355542542
FFF/2014B,8,XGBoost,0.8606140788455838
FFF/2014B,8,LightGBM,0.864913859789909
FFF/2014J,8,LogisticRegression,0.8738350205449579
FFF/2014J,8,RandomForest,0.894230051878888
FFF/2014J,8,XGBoost,0.8889338429401097
FFF/2014J,8,LightGBM,0.8994688726671718
GGG/2013J,8,LogisticRegression,0.6387340465465465
GGG/2013J,8,RandomForest,0.6187593843843844
GGG/2013J,8,XGBoost,0.6323714339339339
GGG/2013J,8,LightGBM,0.6412819069069069
GGG/2014B,8,LogisticRegression,0.636042194590135
GGG/2014B,8,RandomForest,0.6209617537863162
GGG/2014B,8,XGBoost,0.6411986563733868
GGG/2014B,8,LightGBM,0.6524839413047321
GGG/2014J,8,LogisticRegression,0.6550509525919364
GGG/2014J,8,RandomForest,0.6516061143110323
GGG/2014J,8,XGBoost,0.6805050952591936
GGG/2014J,8,LightGBM,0.6865271008713633
